SAMD00012607	Escherichia coli
SAMD00012830	Cronobacter turicensis
SAMD00012832	Escherichia coli
SAMD00012907	Escherichia coli
SAMD00012937	Escherichia coli
SAMD00012941	Escherichia coli
SAMD00012948	Escherichia coli
SAMD00013048	Escherichia coli
SAMD00013244	Serratia marcescens
SAMD00013250	Escherichia coli
SAMD00013251	Escherichia coli
SAMD00013252	Escherichia coli
SAMD00013253	Escherichia coli
SAMD00013254	Escherichia coli
SAMD00013255	Escherichia coli
SAMD00013256	Escherichia coli
SAMD00013257	Escherichia coli
SAMD00013258	Escherichia coli
SAMD00013259	Escherichia coli
SAMD00013260	Escherichia coli
SAMD00013261	Escherichia coli
SAMD00013262	Escherichia coli
SAMD00013264	Escherichia coli
SAMD00013266	Escherichia coli
SAMD00013267	Escherichia coli
SAMD00013268	Escherichia coli
SAMD00013269	Escherichia coli
SAMD00013270	Escherichia coli
SAMD00013271	Escherichia coli
SAMD00013272	Escherichia coli
SAMD00013273	Escherichia coli
SAMD00013274	Escherichia coli
SAMD00013275	Escherichia coli
SAMD00013276	Escherichia coli
SAMD00013277	Escherichia coli
SAMD00013278	Escherichia coli
SAMD00013279	Escherichia coli
SAMD00013280	Escherichia coli
SAMD00013281	Escherichia coli
SAMD00013282	Escherichia coli
SAMD00013283	Escherichia coli
SAMD00013284	Escherichia coli
SAMD00013285	Escherichia coli
SAMD00013286	Escherichia coli
SAMD00013287	Escherichia coli
SAMD00013290	Escherichia coli
SAMD00013291	Escherichia coli
SAMD00013293	Escherichia coli
SAMD00013294	Escherichia coli
SAMD00013295	Escherichia coli
SAMD00013296	Escherichia coli
SAMD00013297	Escherichia coli
SAMD00013304	Escherichia coli
SAMD00013312	Escherichia coli
SAMD00013338	Escherichia coli
SAMD00013339	Escherichia coli
SAMD00013340	Escherichia coli
SAMD00013341	Escherichia coli
SAMD00013342	Escherichia coli
SAMD00013343	Escherichia coli
SAMD00013344	Escherichia coli
SAMD00013345	Escherichia coli
SAMD00013346	Escherichia coli
SAMD00013347	Escherichia coli
SAMD00013348	Escherichia coli
SAMD00013349	Escherichia coli
SAMD00013350	Escherichia coli
SAMD00013351	Escherichia coli
SAMD00013352	Escherichia coli
SAMD00013353	Escherichia coli
SAMD00013354	Escherichia coli
SAMD00013355	Escherichia coli
SAMD00013356	Escherichia coli
SAMD00013357	Escherichia coli
SAMD00013358	Escherichia coli
SAMD00013359	Escherichia coli
SAMD00013503	Serratia liquefaciens
SAMD00013517	Escherichia coli
SAMD00013541	Escherichia coli
SAMD00013571	Enterobacter cloacae
SAMD00013657	Escherichia coli
SAMD00013702	Serratia proteamaculans
SAMD00013770	Salmonella enterica
SAMD00013771	Salmonella enterica
SAMD00013772	Salmonella enterica
SAMD00013773	Salmonella enterica
SAMD00013774	Salmonella enterica
SAMD00013775	Salmonella enterica
SAMD00013776	Salmonella enterica
SAMD00013849	Cedecea neteri
SAMD00013936	Cronobacter turicensis
SAMD00013964	Candidatus Tachikawaea gelatinosa
SAMD00013965	Candidatus Tachikawaea gelatinosa
SAMD00015700	Salmonella bongori
SAMD00015763	Escherichia coli
SAMD00015897	Enterobacter cloacae
SAMD00015933	Enterobacter sp. FY-07
SAMD00016342	Plesiomonas shigelloides
SAMD00016352	Cronobacter sakazakii
SAMD00016453	Providencia stuartii
SAMD00016544	Salmonella enterica
SAMD00016564	Escherichia coli
SAMD00016610	Salmonella enterica
SAMD00016621	Escherichia coli
SAMD00016622	Citrobacter koseri
SAMD00016705	Morganella morganii
SAMD00016710	Enterobacter cancerogenus
SAMD00016730	Escherichia coli
SAMD00016731	Citrobacter braakii
SAMD00016768	Serratia proteamaculans
SAMD00016793	Citrobacter werkmanii
SAMD00018446	Salmonella enterica
SAMD00018447	Salmonella enterica
SAMD00018448	Salmonella enterica
SAMD00018449	Salmonella enterica
SAMD00018450	Salmonella enterica
SAMD00018451	Salmonella enterica
SAMD00018452	Salmonella enterica
SAMD00018453	Salmonella enterica
SAMD00018454	Salmonella enterica
SAMD00018455	Salmonella enterica
SAMD00018456	Salmonella enterica
SAMD00018457	Salmonella enterica
SAMD00018458	Salmonella enterica
SAMD00018459	Salmonella enterica
SAMD00018460	Salmonella enterica
SAMD00018461	Salmonella enterica
SAMD00018462	Salmonella enterica
SAMD00018463	Salmonella enterica
SAMD00018464	Salmonella enterica
SAMD00018478	Escherichia coli
SAMD00018479	Escherichia coli
SAMD00018480	Escherichia coli
SAMD00018481	Escherichia coli
SAMD00018482	Escherichia coli
SAMD00018483	Escherichia coli
SAMD00018484	Escherichia coli
SAMD00018702	Escherichia coli
SAMD00018703	Escherichia coli
SAMD00018704	Escherichia coli
SAMD00018705	Escherichia coli
SAMD00018706	Escherichia coli
SAMD00018707	Escherichia coli
SAMD00018708	Escherichia coli
SAMD00018709	Escherichia coli
SAMD00018710	Escherichia coli
SAMD00018711	Escherichia coli
SAMD00018712	Escherichia coli
SAMD00018713	Escherichia coli
SAMD00018714	Escherichia coli
SAMD00018715	Escherichia coli
SAMD00018716	Escherichia coli
SAMD00018717	Escherichia coli
SAMD00018718	Escherichia coli
SAMD00018719	Escherichia coli
SAMD00018720	Escherichia coli
SAMD00018721	Escherichia coli
SAMD00018722	Escherichia coli
SAMD00018723	Escherichia coli
SAMD00018724	Escherichia coli
SAMD00018725	Escherichia coli
SAMD00018726	Escherichia coli
SAMD00018727	Escherichia coli
SAMD00018728	Escherichia coli
SAMD00018729	Escherichia coli
SAMD00018730	Escherichia coli
SAMD00018731	Escherichia coli
SAMD00018732	Escherichia coli
SAMD00018733	Escherichia coli
SAMD00018734	Escherichia coli
SAMD00018735	Escherichia coli
SAMD00018736	Escherichia coli
SAMD00018737	Escherichia coli
SAMD00018738	Escherichia coli
SAMD00018739	Escherichia coli
SAMD00018740	Escherichia coli
SAMD00018741	Escherichia coli
SAMD00018742	Escherichia coli
SAMD00019005	Escherichia coli
SAMD00019006	Escherichia coli
SAMD00019007	Escherichia coli
SAMD00019008	Escherichia coli
SAMD00019009	Escherichia coli
SAMD00019010	Escherichia coli
SAMD00019011	Escherichia coli
SAMD00019012	Escherichia coli
SAMD00019013	Escherichia coli
SAMD00019014	Escherichia coli
SAMD00019015	Escherichia coli
SAMD00019017	Escherichia coli
SAMD00019019	Escherichia coli
SAMD00019021	Escherichia coli
SAMD00019022	Escherichia coli
SAMD00019023	Escherichia coli
SAMD00019024	Escherichia coli
SAMD00019025	Escherichia coli
SAMD00019026	Escherichia coli
SAMD00019028	Escherichia coli
SAMD00019029	Escherichia coli
SAMD00019030	Escherichia coli
SAMD00019031	Escherichia coli
SAMD00019032	Escherichia coli
SAMD00019048	Citrobacter koseri
SAMD00019584	Salmonella enterica
SAMD00019585	Salmonella enterica
SAMD00019586	Salmonella enterica
SAMD00019587	Salmonella enterica
SAMD00019588	Salmonella enterica
SAMD00019589	Salmonella enterica
SAMD00019590	Salmonella enterica
SAMD00019591	Salmonella enterica
SAMD00019592	Salmonella enterica
SAMD00019593	Salmonella enterica
SAMD00019594	Salmonella enterica
SAMD00019595	Salmonella enterica
SAMD00019596	Salmonella enterica
SAMD00019597	Salmonella enterica
SAMD00019598	Salmonella enterica
SAMD00019600	Salmonella enterica
SAMD00019601	Salmonella enterica
SAMD00019602	Salmonella enterica
SAMD00019603	Salmonella enterica
SAMD00019604	Salmonella enterica
SAMD00019605	Salmonella enterica
SAMD00019606	Salmonella enterica
SAMD00019607	Salmonella enterica
SAMD00019608	Salmonella enterica
SAMD00019609	Salmonella enterica
SAMD00019610	Salmonella enterica
SAMD00019611	Salmonella enterica
SAMD00019612	Salmonella enterica
SAMD00019613	Salmonella enterica
SAMD00019614	Salmonella enterica
SAMD00019615	Salmonella enterica
SAMD00019616	Salmonella enterica
SAMD00019617	Salmonella enterica
SAMD00019618	Salmonella enterica
SAMD00019619	Salmonella enterica
SAMD00019620	Salmonella enterica
SAMD00019621	Salmonella enterica
SAMD00019622	Salmonella enterica
SAMD00019623	Salmonella enterica
SAMD00019624	Salmonella enterica
SAMD00019625	Salmonella enterica
SAMD00019626	Salmonella enterica
SAMD00019627	Salmonella enterica
SAMD00019628	Salmonella enterica
SAMD00019629	Salmonella enterica
SAMD00019630	Salmonella enterica
SAMD00019631	Salmonella enterica
SAMD00019632	Salmonella enterica
SAMD00019633	Salmonella enterica
SAMD00019634	Salmonella enterica
SAMD00019635	Salmonella enterica
SAMD00019636	Salmonella enterica
SAMD00019637	Salmonella enterica
SAMD00019638	Salmonella enterica
SAMD00019639	Salmonella enterica
SAMD00019640	Salmonella enterica
SAMD00019641	Salmonella enterica
SAMD00019642	Salmonella enterica
SAMD00019643	Salmonella enterica
SAMD00019644	Salmonella enterica
SAMD00019645	Salmonella enterica
SAMD00019646	Salmonella enterica
SAMD00019647	Salmonella enterica
SAMD00019648	Salmonella enterica
SAMD00019649	Salmonella enterica
SAMD00019650	Salmonella enterica
SAMD00019974	Escherichia coli
SAMD00019975	Escherichia coli
SAMD00019976	Escherichia coli
SAMD00027186	Escherichia coli
SAMD00027187	Escherichia coli
SAMD00027188	Escherichia coli
SAMD00027189	Escherichia coli
SAMD00027190	Escherichia coli
SAMD00027191	Escherichia coli
SAMD00027192	Escherichia coli
SAMD00027193	Escherichia coli
SAMD00027194	Escherichia coli
SAMD00027195	Escherichia coli
SAMD00027196	Escherichia coli
SAMD00027197	Escherichia coli
SAMD00027198	Escherichia coli
SAMD00027199	Escherichia coli
SAMD00027200	Escherichia coli
SAMD00027201	Escherichia marmotae
SAMD00027202	Escherichia coli
SAMD00029118	Escherichia coli
SAMD00029119	Escherichia coli
SAMD00029120	Escherichia coli
SAMD00029121	Escherichia coli
SAMD00029122	Escherichia coli
SAMD00029123	Escherichia coli
SAMD00029124	Escherichia coli
SAMD00029125	Escherichia coli
SAMD00029126	Escherichia coli
SAMD00029127	Escherichia coli
SAMD00029128	Escherichia coli
SAMD00029129	Escherichia coli
SAMD00029130	Escherichia coli
SAMD00029131	Escherichia coli
SAMD00029132	Escherichia coli
SAMD00029133	Escherichia coli
SAMD00029134	Escherichia coli
SAMD00029135	Escherichia coli
SAMD00029136	Escherichia coli
SAMD00029137	Escherichia coli
SAMD00029138	Escherichia coli
SAMD00029139	Escherichia coli
SAMD00029140	Escherichia coli
SAMD00029141	Escherichia coli
SAMD00029170	Escherichia coli
SAMD00029171	Escherichia coli
SAMD00029172	Escherichia coli
SAMD00029173	Escherichia coli
SAMD00029174	Escherichia coli
SAMD00029175	Escherichia coli
SAMD00029176	Escherichia coli
SAMD00029177	Escherichia coli
SAMD00029178	Escherichia coli
SAMD00029179	Escherichia coli
SAMD00029180	Escherichia coli
SAMD00029181	Escherichia coli
SAMD00029182	Escherichia coli
SAMD00029183	Escherichia coli
SAMD00029184	Escherichia coli
SAMD00029185	Escherichia coli
SAMD00029186	Escherichia coli
SAMD00029187	Escherichia coli
SAMD00029188	Escherichia coli
SAMD00029189	Escherichia coli
SAMD00029190	Escherichia coli
SAMD00029191	Escherichia coli
SAMD00029192	Escherichia coli
SAMD00029193	Escherichia coli
SAMD00029194	Escherichia coli
SAMD00029195	Escherichia coli
SAMD00029196	Escherichia coli
SAMD00029197	Escherichia coli
SAMD00029198	Escherichia coli
SAMD00029199	Escherichia coli
SAMD00029200	Escherichia coli
SAMD00029201	Escherichia coli
SAMD00029202	Escherichia coli
SAMD00029203	Escherichia coli
SAMD00029204	Escherichia coli
SAMD00029205	Escherichia coli
SAMD00029206	Escherichia coli
SAMD00029207	Escherichia coli
SAMD00029208	Escherichia coli
SAMD00029209	Escherichia coli
SAMD00029210	Escherichia coli
SAMD00029211	Escherichia coli
SAMD00029212	Escherichia coli
SAMD00029213	Escherichia coli
SAMD00029214	Escherichia coli
SAMD00029215	Escherichia coli
SAMD00029216	Escherichia coli
SAMD00029217	Escherichia coli
SAMD00029218	Escherichia coli
